id,nome,categoria,preco,estoque,em_promocao,descricao
sku001,Smartphone TechPro X1,Eletrônicos,3999.90,50,True,"O mais novo smartphone com câmera tripla de 108MP e tela Super AMOLED de 6.7 polegadas."
sku002,Notebook UltraSlim i7,Eletrônicos,7499.00,30,False,"Notebook leve e potente com processador Intel Core i7, 16GB de RAM e SSD de 512GB."
sku003,Fone de Ouvido Bluetooth SoundFree,Acessórios,299.50,150,False,"Fones de ouvido sem fio com cancelamento de ruído ativo e até 20 horas de bateria."
sku004,Smartwatch FitLife 2,Acessórios,899.00,80,False,"Relógio inteligente com monitoramento de frequência cardíaca, GPS integrado e à prova d'água."
sku005,Cafeteira Elétrica Aroma 24h,Eletrodomésticos,249.90,100,True,"Cafeteira programável que prepara seu café na hora que você quiser, com jarra de vidro para 30 xícaras."
sku006,Liquidificador PowerMax 1000W,Eletrodomésticos,199.00,120,False,"Liquidificador de alta potência com 12 velocidades e copo de 2 litros resistente."
sku007,Televisão LED 4K 55 polegadas,Eletrônicos,3199.00,40,False,"Smart TV com resolução 4K, HDR e acesso aos principais aplicativos de streaming."
sku008,Air Fryer Family Size 5L,Eletrodomésticos,499.00,90,False,"Fritadeira sem óleo com capacidade de 5 litros, perfeita para toda a família."
sku009,Cadeira Gamer Ergonômica Pro,Móveis,1299.00,25,True,"Cadeira ergonômica com ajuste de altura, inclinação e apoio para lombar e pescoço."
sku010,Mouse Sem Fio PrecisionClick,Acessórios,129.90,200,False,"Mouse óptico sem fio com design ergonômômico e 1600 DPI para maior precisão."
sku011,Teclado Mecânico RGB Gamer,Acessórios,450.00,70,False,"Teclado mecânico com iluminação RGB customizável e switches de alta performance."
sku012,Monitor Gamer Curvo 27 polegadas,Eletrônicos,1999.00,35,False,"Monitor curvo com taxa de atualização de 144Hz e tempo de resposta de 1ms."
sku013,Caixa de Som Bluetooth Portátil X-Bass,Acessórios,350.00,110,True,"Caixa de som à prova d'água com graves potentes e 15 horas de autonomia."
sku014,Robô Aspirador SmartClean,Eletrodomésticos,1599.00,50,False,"Aspirador de pó robô que mapeia a casa e pode ser controlado pelo smartphone."
sku015,Webcam Full HD 1080p,Acessórios,280.00,130,False,"Webcam com microfone integrado para videochamadas em alta definição."
sku016,HD Externo Portátil 2TB,Acessórios,420.00,95,False,"Armazenamento externo portátil com 2TB de capacidade e conexão USB 3.0."
sku017,Ventilador de Coluna TurboWind,Eletrodomésticos,180.00,150,False,"Ventilador potente e silencioso com 3 velocidades e ajuste de altura."
sku018,Forno Micro-ondas Espelhado 30L,Eletrodomésticos,699.00,60,False,"Forno micro-ondas com porta espelhada, grill e diversas receitas pré-programadas."
sku019,Mochila para Notebook SafeGuard,Acessórios,220.00,180,False,"Mochila reforçada e impermeável com compartimento acolchoado para notebooks de até 15.6 polegadas."
sku020,Panela de Pressão Elétrica Digital,Eletrodomésticos,380.00,85,False,"Panela de pressão elétrica com painel digital, 10 funções e capacidade de 6 litros."
sku021,Barbeador Elétrico AquaTouch,Cuidados Pessoais,320.00,75,True,"Barbeador elétrico 100% à prova d'água para uso a seco ou molhado, com lâminas de precisão."
sku022,Escova de Dentes Elétrica SonicPro,Cuidados Pessoais,190.00,100,False,"Escova sônica com 3 modos de escovação e temporizador inteligente."
sku023,Câmera de Segurança Wi-Fi 360°,Segurança,310.00,90,False,"Câmera de segurança interna com visão noturna, áudio bidirecional e rotação 360°."
sku024,Carregador Portátil PowerBank 20000mAh,Acessórios,180.00,250,False,"Bateria externa com alta capacidade para carregar até 3 dispositivos simultaneamente."
sku025,Furadeira de Impacto HobbyMaster,Ferramentas,250.00,65,False,"Furadeira de impacto de 650W com velocidade variável e kit de brocas incluso."
sku026,Lâmpada Inteligente LED Wi-Fi RGB,Automação Residencial,89.90,300,False,"Lâmpada LED que se conecta ao Wi-Fi, permitindo controle de cor e intensidade pelo app."
sku027,Tablet Tela 10 polegadas Learning Tab,Eletrônicos,950.00,55,False,"Tablet com 64GB de armazenamento e tela de alta resolução, ideal para estudos e entretenimento."
sku028,Roteador Wi-Fi 6 Mesh UltraConnect,Eletrônicos,799.00,45,False,"Sistema de roteadores Mesh para cobertura total de Wi-Fi em toda a casa."
sku029,Balança Digital de Cozinha Precision,Eletrodomésticos,75.00,140,False,"Balança de alta precisão para pesar ingredientes, com capacidade para até 10kg."
sku030,Purificador de Água Naturalis,Eletrodomésticos,550.00,70,False,"Purificador com refrigeração e triplo sistema de filtragem para água pura e gelada."
